1            When wert thou born, desire?
2            In pomp and prime of May.
3            By whom, sweet boy, wert thou begot?
4            By good conceit, men say.
5            Tell me, who was thy nurse?
6            Fresh youth in sugared joy.
7            What was thy meat and daily food?
8            Sad sighs with great annoy.
9            What hadst thou then to drink?
10          Unfeigned lovers’ tears.
11          What cradle wert thou rocked in?
12          In hope devoid of fears.
13          What brought thee then asleep?
14          Sweet speech, that liked me best.
15          And where is now thy dwelling-place?
16          In gentle hearts I rest.
17          Doth company displease?
18          It doth in many a one.
19          Where would desire then choose to be?
20          He likes to muse alone.
21          What feedeth most your sight?
22          To gaze on favour still.
23          What findest thou most to be thy foe?
24          Disdain of my goodwill.
25          Will ever age or death
26          Bring thee unto decay?
27          No, no, desire both lives and dies
28          Ten thousand times a day.
